event_id,schema_version,run_id,source_id,source_root,absolute_path,relative_path,filename,extension,path_type,status,detection_reason,mime_type,bytes,sha256,created_at,modified_at,width,height,image_mode,has_alpha,exif_datetime,pdf_pages,pdf_title,pdf_author,pdf_subject,pdf_text_chars,archive_member_count,duplicate_group,classification_branch,error
evt_000040,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-027.png,assets/card-027.png,card-027.png,.png,file,observed,recursive_discovery,image/png,140,61c3acb332cdae54ae523cbb5cdecdf8ce8233d61f75e322983c9ddde5c3eef2,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,51,51,RGB,False,,,,,,,,61c3acb332cdae54,image_metadata,
evt_000041,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-028.jpg,assets/card-028.jpg,card-028.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,398,d5ecd8ccca290e90747d47c98ca463611cdb87cbc204f2b82ca37e9f3501ae45,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,51,51,L,False,,,,,,,,d5ecd8ccca290e90,image_metadata,
evt_000042,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-029.jpg,assets/card-029.jpg,card-029.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,11788,55f3b5022bca0db4f587e8b4ec981fa32c54770caaee28f8098c20a08b273d8c,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,807,698,L,False,,,,,,,,55f3b5022bca0db4,image_metadata,
evt_000043,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-030.png,assets/card-030.png,card-030.png,.png,file,observed,recursive_discovery,image/png,2712,e330247d06866088788c8a9ac16549855234a64abb09d6b5ac01762c0302d7e4,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,807,698,RGB,False,,,,,,,,,image_metadata,
evt_000044,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-031.jpg,assets/card-031.jpg,card-031.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,11788,55f3b5022bca0db4f587e8b4ec981fa32c54770caaee28f8098c20a08b273d8c,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,807,698,L,False,,,,,,,,55f3b5022bca0db4,image_metadata,
evt_000045,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-032.jpg,assets/card-032.jpg,card-032.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,544,995e4d74fcd60d09c93f3aedbb17a4d106b0b5991eba51d52783de57e265196a,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,73,70,L,False,,,,,,,,995e4d74fcd60d09,image_metadata,
evt_000046,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-033.png,assets/card-033.png,card-033.png,.png,file,observed,recursive_discovery,image/png,167,c602d61bb8f420198bbd98024f07b6f7d3d7ad6a1368b46e88ddc50a4b60b98f,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,73,70,RGB,False,,,,,,,,,image_metadata,
evt_000047,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-034.jpg,assets/card-034.jpg,card-034.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,544,995e4d74fcd60d09c93f3aedbb17a4d106b0b5991eba51d52783de57e265196a,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,73,70,L,False,,,,,,,,995e4d74fcd60d09,image_metadata,
evt_000048,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-035.jpg,assets/card-035.jpg,card-035.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,422,f7e0bfcd12ca05023937ccd2d8d3423934fbf6da140ea5d42f13a0644f168ee2,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,53,55,L,False,,,,,,,,f7e0bfcd12ca0502,image_metadata,
evt_000049,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-036.png,assets/card-036.png,card-036.png,.png,file,observed,recursive_discovery,image/png,143,3986b61f3205be2b112550f89f15c68b977fd92476b6dab0c0e0280345596f03,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,53,55,RGB,False,,,,,,,,3986b61f3205be2b,image_metadata,
evt_000050,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-037.jpg,assets/card-037.jpg,card-037.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,422,f7e0bfcd12ca05023937ccd2d8d3423934fbf6da140ea5d42f13a0644f168ee2,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,53,55,L,False,,,,,,,,f7e0bfcd12ca0502,image_metadata,
